Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Screens,Budget,Revenue,Profit_Factor,Year,Duration,Rating,Votes
Hawaizaada,Normal,No,No,drama,No,Yes,No,Ayushman Khurana,Vibhu Puri,Mangesh Dhakde,900,340000000,55900000,0.164411765,2015,148,5.5,1753
Strangers,Normal,No,No,drama,No,Yes,Yes,Jimmy Shergill,Anand L. Rai,Vinay Tiwari,100,37500000,6150000,0.164,2007,100,4.9,338
Koyelaanchal,Holiday,No,No,action,No,No,Yes,Vinod Khanna,Ashu Trikha,Sushant - Shankar,900,140000000,22900000,0.163571429,2014,145,5.4,258
Isi Life Mein...!,Holiday,No,No,love_story,Yes,Yes,Yes,Akshay Oberoi,Vidhi Kasliwal,Manmeet Singh,250,85000000,13900000,0.163529412,2010,139,5.4,391
Love Khichdi,Normal,No,No,rom__com,No,No,No,Randeep Hooda,Srinivas Bhashyam,Pritam,100,22500000,3650000,0.162222222,2009,130,5.7,304
Kya Dilli Kya Lahore,Normal,No,No,drama,No,Yes,No,Vijay Raaz,Vijay Raaz,Sandesh Shandilya,400,55000000,8900000,0.161818182,2014,98,7.4,1844
Hum Tum Shabana,Holiday,No,No,comedy,No,No,No,Tusshar Kapoor,Sagar Ballary,Sachin - Jigar,475,120000000,19200000,0.16,2011,126,3.6,291
Hide & Seek,Normal,No,No,thriller,No,Yes,No,Purab Kohli,Shawn Arranha,Chirantan Bhatt,275,40000000,6400000,0.16,2010,105,4.2,220
Running Shaadi,Holiday,No,No,rom__com,No,Yes,Yes,Amit Sadh,Amit Roy,Abhishek - Akshay,650,85000000,13400000,0.157647059,2017,114,6.6,2440
Badlapur Boys,Normal,Yes,No,drama,No,Yes,No,Nishan Nanaiah,Shailesh Verma,Sachin Gupta,575,70000000,10900000,0.155714286,2014,123,4.7,123
Chehraa,Holiday,No,No,thriller,No,No,No,Bipasha Basu,Saurabh Shukla,Anu Malik,50,40000000,6200000,0.155,2005,136,3.8,140
Soundtrack,Normal,No,No,drama,No,Yes,Yes,Rajeev Khandelwal,Neerav Ghosh,Vishal Vaid,225,55000000,8500000,0.154545455,2011,132,7.1,826
Qasam Se Qasam Se,Normal,No,No,love_story,Yes,Yes,Yes,Azim,Ashfaque Makrani,Shailendra - Sayanti,100,20000000,3050000,0.1525,2012,145,4.0,18
London Calling,Holiday,No,No,drama,No,No,No,Bobby Khan,B. Subhash,Sawan Kumar Sawan,40,10000000,1525000,0.1525,2009,90,3.8,8
Bumboo,Holiday,No,No,comedy,Yes,Yes,Yes,Kavin Dave,Jagdish Rajpurohit,Faiz ur Rehmen,175,25000000,3775000,0.151,2012,126,6.0,982
Victoria No. 203,Normal,No,No,comedy,No,No,No,Jimmy Shergill,Anant Mahadevan,Viju Shah,165,90000000,13500000,0.15,1972,100,7.1,191
Phir Tauba Tauba,Holiday,No,Yes,comedy,No,No,No,Rahul Roy,T.L.V. Prasad,Nazakat - Shujat,60,20000000,3000000,0.15,2008,109,2.7,9
Irada,Holiday,No,No,drama,No,Yes,Yes,Naseeruddin Shah,Aparnaa Singh,Neeraj Shridhar,500,75000000,11200000,0.149333333,2017,109,6.3,1284
David,Normal,No,No,drama,No,No,Yes,Vikram,Bejoy Nambiar,Mikey McCleary,575,350000000,52100000,0.148857143,2013,155,6.2,2608
Tere Mere Phere,Holiday,No,No,comedy,No,Yes,Yes,Vinay Pathak,Deepa Sahi,Shivangi Kashyap,225,47500000,7000000,0.147368421,2011,120,5.3,243
Kachchi Sadak,Normal,No,No,action,Yes,Yes,No,Rahul Singh,Sanjay D. Singh,Uttam Singh,20,17500000,2525000,0.144285714,2006,145,6.1,34
Mumbai Mirror,Holiday,No,No,action,No,No,No,Sachiin Joshi,Ankush Bhatt,Amjad - Nadeem,950,180000000,25800000,0.143333333,2013,136,4.9,114
Sonali Cable,Normal,No,No,drama,No,Yes,No,Ali Fazal,Charudutt Acharya,Daniel B. George,525,77500000,11100000,0.143225807,2014,127,5.3,980
Summer 2007,Normal,No,No,thriller,Yes,Yes,Yes,Sikander Kher,Suhail Tatari,Gourov Dasgupta,125,45000000,6428250,0.14285,2008,166,6.2,238
Samrat & Co.,Normal,No,No,suspense,No,No,No,Rajeev Khandelwal,Kaushik Ghatak,Ankit Tiwari,625,150000000,21300000,0.142,2014,125,6.2,1227
Zed Plus,Normal,No,No,drama,No,No,No,Adil Hussain,Chandraprakash Dwivedi,Sukhwinder Singh,350,55000000,7700000,0.14,2014,141,6.4,449
Chakradhaar,Normal,No,No,action,Yes,Yes,No,Abhishek Anand,Dharam Prakash,Anand Raj Anand,250,45000000,6300000,0.14,2012,120,4.2,28
Chatur Singh Two Star,Holiday,No,No,comedy,No,No,No,Sanjay Dutt,Ajay Chandhok,Sajid - Wajid,700,230000000,31700000,0.137826087,2011,150,1.7,624
Jigyaasa,Normal,No,No,drama,No,Yes,No,Hrishita Bhatt,Faisal Saif,Ram Shankar,25,20000000,2700000,0.135,2006,147,3.4,263
Koi Mere Dil Mein Hai,Normal,No,No,love_story,No,Yes,No,Priyanshu Chatterjee,Deepak Ramsay,Nikhil - Vinay,50,35000000,4700000,0.134285714,2005,128,4.7,88
Ishkq In Paris,Holiday,No,No,love_story,No,No,No,Preity Zinta,Prem Soni,Sajid - Wajid,400,210000000,28075000,0.133690476,2013,95,3.8,751
W,Holiday,No,No,thriller,Yes,Yes,No,Leeza Mangaldas,Tarun Madan Chopra,Daboo Malik,150,15000000,2000000,0.133333333,2014,137,6.6,47
Rabba Main Kya Karoon,Holiday,No,No,comedy,No,No,Yes,Arshad Warsi,Amrit Sagar,Labh Junjua,400,110000000,14400000,0.130909091,2013,116,4.3,277
Diary Of A Butterfly,Normal,No,No,drama,No,No,No,Udita Goswami,Vinod Mukhi,Shibani Kashyap,200,27500000,3600000,0.130909091,2012,97,3.6,88
Rakhtbeej,Normal,No,No,drama,Yes,Yes,No,Maanas Srivastava,Anil Balani,Satish - Ajay,300,50000000,6500000,0.13,2012,120,3.1,15
Rise Of The Zombie,Normal,No,No,horror,No,Yes,Yes,Luke Kenny,Luke Kenny,Caralisa Monteiro,225,30000000,3900000,0.13,2013,86,3.5,404
Ishq Ke Parindey,Normal,No,No,love_story,Yes,Yes,No,Rishi Verma,Shakir Khan,Rashid Khan,150,32500000,4200000,0.129230769,2015,120,6.8,51
Sahi Dhandhe Galat Bande,Holiday,No,No,drama,No,Yes,No,Parvin Dabas,Pravin Dabbas,Siddharth - Suhas,350,75000000,9600000,0.128,2011,119,4.8,263
